City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
94,Fort Nelson,CA,2021-05-31 20:53:54,58.8053,-122.7002,72.99,28,75,4.61,broken clouds
95,Baraboo,US,2021-05-31 20:55:52,43.4711,-89.7443,75.27,40,1,11.5,clear sky
96,Jamestown,US,2021-05-31 20:55:52,42.097,-79.2353,71.1,35,1,1.99,clear sky
97,Malakal,SS,2021-05-31 20:55:52,9.5334,31.6605,89.28,37,24,4.97,few clouds
98,Launceston,AU,2021-05-31 20:55:53,-41.45,147.1667,47.16,87,100,4.34,overcast clouds
99,Fonte Boa,BR,2021-05-31 20:55:53,-2.4959,-66.2662,81.34,82,83,1.83,broken clouds
100,Dikson,RU,2021-05-31 20:55:53,73.5069,80.5464,28.78,93,100,17.02,overcast clouds
101,Laguna,US,2021-05-31 20:46:41,38.421,-121.4238,103.87,24,1,1.01,clear sky
102,Cape Town,ZA,2021-05-31 20:55:55,-33.9258,18.4232,57.61,89,75,1.01,broken clouds
103,Touros,BR,2021-05-31 20:46:09,-5.1989,-35.4608,81.5,81,7,9.8,clear sky
104,Klaksvik,FO,2021-05-31 20:55:55,62.2266,-6.589,52.72,98,100,13.6,overcast clouds
105,Vera Cruz,BR,2021-05-31 20:52:53,-12.6333,-41.0333,81.97,56,14,7.25,few clouds
106,Georgetown,MY,2021-05-31 20:55:56,5.4112,100.3354,80.55,86,20,1.01,few clouds
107,Novikovo,RU,2021-05-31 20:55:57,51.1537,37.8879,46.71,82,100,8.61,overcast clouds
108,Gazanjyk,TM,2021-05-31 20:55:58,39.2446,55.5154,76.73,54,0,9.53,clear sky
109,Terra Santa,BR,2021-05-31 20:55:58,-2.1042,-56.4869,83.75,71,100,2.71,overcast clouds
110,Isangel,VU,2021-05-31 20:47:55,-19.55,169.2667,73.04,60,21,11.88,few clouds
111,Bandarbeyla,SO,2021-05-31 20:55:59,9.4942,50.8122,79.27,83,100,24.99,overcast clouds
112,Rockhampton,AU,2021-05-31 20:55:59,-23.3833,150.5,60.69,72,40,4.61,scattered clouds
113,Carnarvon,AU,2021-05-31 20:48:04,-24.8667,113.6333,53.67,94,0,10.36,clear sky
114,Santa Cruz,BO,2021-05-31 20:56:00,-17.8,-63.1667,69.85,56,75,4.61,broken clouds
115,Maracaju,BR,2021-05-31 20:52:47,-21.6144,-55.1683,71.83,75,46,2.95,scattered clouds
116,Chirongui,YT,2021-05-31 20:56:00,-12.9319,45.1483,75.13,69,0,4.85,clear sky
117,Bengkulu,ID,2021-05-31 20:48:03,-3.8004,102.2655,75.54,92,99,3.47,overcast clouds
118,Port Alfred,ZA,2021-05-31 20:47:58,-33.5906,26.891,60.26,81,97,11.99,light rain
119,Ilhabela,BR,2021-05-31 20:46:20,-23.7781,-45.3581,69.39,91,100,5.23,overcast clouds
120,Gbongan,NG,2021-05-31 20:56:01,7.4667,4.35,74.93,94,82,5.5,broken clouds
121,Krasnoselkup,RU,2021-05-31 20:56:01,65.7,82.4667,37.83,77,100,9.1,overcast clouds
122,Isilkul,RU,2021-05-31 20:56:02,54.9109,71.2728,60.03,94,98,12.84,overcast clouds
123,Zaysan,KZ,2021-05-31 20:56:02,47.4667,84.8667,64.51,30,5,7.49,clear sky
124,Rayadrug,IN,2021-05-31 20:56:03,14.7,76.8667,77.18,72,61,14.67,broken clouds
125,Namibe,AO,2021-05-31 20:56:03,-15.1961,12.1522,70.93,66,7,3.71,clear sky
126,East London,ZA,2021-05-31 20:56:04,-33.0153,27.9116,61.11,76,70,7.58,moderate rain
127,Sistranda,NO,2021-05-31 20:56:04,63.7256,8.834,51.91,88,100,14.29,overcast clouds
128,Mar Del Plata,AR,2021-05-31 20:56:05,-38.0023,-57.5575,54.09,52,75,1.01,broken clouds
129,Labuhan,ID,2021-05-31 20:56:05,-6.8844,112.2051,76.6,90,98,6.98,overcast clouds
130,Lebu,CL,2021-05-31 20:56:06,-37.6167,-73.65,56.93,99,100,11.48,overcast clouds
131,Selma,US,2021-05-31 20:53:38,36.5708,-119.6121,101.08,11,6,7.27,clear sky
132,Avera,US,2021-05-31 20:56:07,33.194,-82.5271,80.26,36,71,5.5,broken clouds
133,Fortuna,US,2021-05-31 20:56:07,40.5982,-124.1573,72.86,61,31,3.0,scattered clouds
134,Kaduqli,SD,2021-05-31 20:52:30,11.0167,29.7167,91.36,29,15,2.59,few clouds
135,Podor,MR,2021-05-31 20:56:08,16.6527,-14.9587,83.71,45,28,20.4,scattered clouds
136,Caraquet,CA,2021-05-31 20:56:09,47.7941,-64.9386,50.58,99,100,5.84,overcast clouds
137,Half Moon Bay,US,2021-05-31 20:56:09,37.4636,-122.4286,101.91,57,1,10.36,haze
138,Tura,IN,2021-05-31 20:48:05,25.5198,90.2201,71.92,97,100,2.77,overcast clouds
139,Pangnirtung,CA,2021-05-31 20:56:10,66.1451,-65.7125,33.8,93,75,10.36,broken clouds
140,Chapais,CA,2021-05-31 20:49:16,49.7834,-74.8492,69.58,37,97,9.93,overcast clouds
141,Morant Bay,JM,2021-05-31 20:56:10,17.8815,-76.4093,85.62,71,100,10.98,overcast clouds
142,Padang,ID,2021-05-31 20:43:53,-0.9492,100.3543,77.0,85,43,3.91,scattered clouds
143,Bredasdorp,ZA,2021-05-31 20:56:11,-34.5322,20.0403,54.72,88,3,7.54,clear sky
144,Wamba,NG,2021-05-31 20:56:11,8.9333,8.6,78.76,74,69,2.57,broken clouds
145,Fuerte Olimpo,PY,2021-05-31 20:56:12,-21.0415,-57.8738,76.48,56,86,2.19,overcast clouds
146,Boffa,GN,2021-05-31 20:56:12,10.1667,-14.0333,78.6,85,100,4.88,overcast clouds
147,Khatanga,RU,2021-05-31 20:47:54,71.9667,102.5,34.34,88,80,13.22,broken clouds
148,Ribeira Grande,PT,2021-05-31 20:56:13,38.5167,-28.7,64.8,55,40,11.5,scattered clouds
149,Ponta Do Sol,PT,2021-05-31 20:55:15,32.6667,-17.1,69.01,80,62,3.36,broken clouds
150,Douglas,US,2021-05-31 20:56:13,41.3,-96.167,76.14,48,1,1.01,clear sky
151,La Tuque,CA,2021-05-31 20:56:14,47.4334,-72.7824,66.45,42,100,4.61,overcast clouds
152,Hailin,CN,2021-05-31 20:56:14,44.5833,129.4167,53.8,80,100,3.67,moderate rain
153,Longyearbyen,SJ,2021-05-31 20:55:02,78.2186,15.6401,35.44,75,75,9.22,broken clouds
154,Elko,US,2021-05-31 20:56:15,41.0002,-115.5012,78.06,8,13,7.0,few clouds
155,Narsaq,GL,2021-05-31 20:47:56,60.9167,-46.05,46.62,79,57,5.44,broken clouds
156,Tarko-Sale,RU,2021-05-31 20:56:15,64.9225,77.785,36.0,77,100,5.5,overcast clouds
157,Hofn,IS,2021-05-31 20:48:47,64.2539,-15.2082,46.08,84,47,4.32,scattered clouds
158,Port Keats,AU,2021-05-31 20:56:16,-14.25,129.55,69.57,84,71,3.8,broken clouds
159,Ancud,CL,2021-05-31 20:56:17,-41.8697,-73.8203,59.43,98,100,14.61,light rain
160,Tigzirt,DZ,2021-05-31 20:56:17,36.8886,4.1198,71.2,71,100,8.5,overcast clouds
161,Nichinan,JP,2021-05-31 20:56:18,31.6,131.3667,67.35,82,92,5.66,overcast clouds
162,Castro,BR,2021-05-31 20:56:18,-24.7911,-50.0119,56.75,98,100,2.62,overcast clouds
163,Onufriyivka,UA,2021-05-31 20:56:19,48.9072,33.4487,51.66,75,100,11.21,overcast clouds
164,Puerto Ayora,EC,2021-05-31 20:56:19,-0.7393,-90.3518,80.56,87,42,8.99,scattered clouds
165,Lavrentiya,RU,2021-05-31 20:51:28,65.5833,-171.0,34.2,77,59,8.68,broken clouds
166,Sambava,MG,2021-05-31 20:56:20,-14.2667,50.1667,71.26,87,1,9.24,clear sky
