City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
129,Karksi-Nuia,EE,2021-05-31 13:13:42,58.1033,25.5628,62.47,43,100,5.46
130,Itoman,JP,2021-05-31 13:13:42,26.1247,127.6694,77.4,88,75,12.66
131,Severo-Kurilsk,RU,2021-05-31 13:13:43,50.6789,156.125,36.99,98,100,26.6
132,Abha,SA,2021-05-31 13:13:43,18.2164,42.5053,88.05,7,0,14.25
133,Sistranda,NO,2021-05-31 13:13:44,63.7256,8.834,57.16,83,100,11.68
134,Qitaihe,CN,2021-05-31 13:13:44,45.8,130.85,54.93,86,71,5.82
135,Colares,PT,2021-05-31 13:13:44,38.7992,-9.4469,74.44,67,20,3.0
136,Khatanga,RU,2021-05-31 13:13:45,71.9667,102.5,37.27,99,100,10.36
137,Srednekolymsk,RU,2021-05-31 13:13:45,67.45,153.6833,57.51,38,11,12.8
138,Maraba,BR,2021-05-31 13:11:47,-5.3686,-49.1178,91.58,55,0,0.0
139,Kousseri,CM,2021-05-31 13:13:46,12.0769,15.0306,109.15,5,10,8.14
140,Khani,GE,2021-05-31 13:13:46,41.9563,42.9566,85.57,33,26,6.58
141,Alyangula,AU,2021-05-31 13:13:47,-13.8483,136.4192,76.89,77,100,12.75
142,Terenos,BR,2021-05-31 13:13:47,-20.4422,-54.8603,73.11,73,40,1.74
143,Huarmey,PE,2021-05-31 13:13:47,-10.0681,-78.1522,66.34,86,93,8.01
144,Necochea,AR,2021-05-31 13:09:53,-38.5473,-58.7368,54.03,70,34,20.13
145,Saint George,US,2021-05-31 13:12:06,37.1041,-113.5841,75.34,18,65,5.99
146,Bahia Blanca,AR,2021-05-31 13:10:10,-38.7196,-62.2724,53.38,67,75,7.49
147,Bathsheba,BB,2021-05-31 13:13:48,13.2167,-59.5167,86.61,54,20,20.0
148,Pevek,RU,2021-05-31 13:13:49,69.7008,170.3133,36.66,65,56,1.1
149,Geraldton,AU,2021-05-31 13:13:49,-28.7667,114.6,57.61,88,16,16.33
150,Porbandar,IN,2021-05-31 13:13:49,21.6422,69.6093,84.99,77,48,17.0
151,Isangel,VU,2021-05-31 13:13:50,-19.55,169.2667,71.02,68,72,10.07
152,Bethel,US,2021-05-31 13:13:50,41.3712,-73.414,52.57,91,100,1.99
153,Qaanaaq,GL,2021-05-31 13:13:51,77.484,-69.3632,32.88,90,100,3.38
154,Hurghada,EG,2021-05-31 13:13:51,27.2574,33.8129,100.09,22,0,6.33
155,Pisco,PE,2021-05-31 13:13:51,-13.7,-76.2167,64.45,88,90,4.61
156,Baturaja,ID,2021-05-31 13:13:52,-4.1333,104.1667,74.43,98,98,2.89
157,Altay,CN,2021-05-31 13:13:52,47.8667,88.1167,74.84,27,0,10.45
158,Victoria,HK,2021-05-31 13:09:26,22.2855,114.1577,83.32,91,100,1.01
159,Siclong,PH,2021-05-31 13:13:53,15.5808,121.2239,78.12,92,100,2.62
160,Warri,NG,2021-05-31 13:13:53,5.5167,5.75,86.43,69,97,3.49
161,Benghazi,LY,2021-05-31 13:13:54,32.1167,20.0667,75.24,58,63,13.15
162,Tiksi,RU,2021-05-31 13:13:54,71.6872,128.8694,35.4,90,17,4.03
163,Constitucion,CL,2021-05-31 13:13:55,-35.3333,-72.4167,58.78,87,99,2.8
164,Hualmay,PE,2021-05-31 13:13:55,-11.0964,-77.6139,65.1,85,97,7.18
165,Kyaukse,MM,2021-05-31 13:13:55,21.6,96.1333,90.91,49,99,6.89
